scaffold_id	structure	bms	sk_struct	idx	closest_order	bucket_id	embedded_hs_coordinates	Dim_1	Dim_2
scaffold.509428	O=C1NC[C@H](Cc2ccccc2)N(C[C@@H]2CCCN2C[C@H](Cc2ccccc2)N2C[C@H](Cc3ccccc3)N(CC3CCCCC3)C(=O)C2=O)C1=O	O=C1NC[C@H](Cc2ccccc2)N(C[C@@H]2CCCN2C[C@H](Cc2ccccc2)N2C[C@H](Cc3ccccc3)N(CC3CCCCC3)C(=O)C2=O)C1=O	48 7 13 7 0 6 3 0 13 0 0 0 13 9 0 0 4 5 3 0 0 0 6 0 4 2 4 7 0 11 4 11	878	55019	1013	29;3	29	3
scaffold.507615	O=C(CSc1c2ccccc2nc2ccccc12)Nc1ccccc1-c1ccccc1NC(=O)CSc1c2ccccc2nc2ccccc12	O=C(CSc1c2ccccc2nc2ccccc12)Nc1ccccc1-c1ccccc1NC(=O)CSc1c2ccccc2nc2ccccc12	48 8 10 8 0 6 8 0 6 0 2 0 4 8 0 2 2 4 0 0 0 0 2 0 2 0 11 2 8 9 2 9	879	55020	1013	29;3	29	3
scaffold.505628	c1ccc(OCCCCOc2ccccc2Nc2c3ccccc3nc3ccccc23)c(Nc2c3ccccc3nc3ccccc23)c1	c1ccc(OCCCCOc2ccccc2Nc2c3ccccc3nc3ccccc23)c(Nc2c3ccccc3nc3ccccc23)c1	48 8 11 8 0 6 8 0 6 0 0 2 4 6 0 0 2 4 0 0 0 0 2 0 0 0 10 4 6 14 0 14	880	55021	1013	29;3	29	3
scaffold.507331	O=C1C=CC=CC[C@@H](CCCC2C[C@@H](O[C@H]3CCCCO3)CCO2)OC(=O)C=CC=CC[C@@H](CCCC2C[C@@H](O[C@H]3CCCCO3)CCO2)O1	O=C1C=CC=CC[C@@H](CCCC2C[C@@H](O[C@H]3CCCCO3)CCO2)OC(=O)C=CC=CC[C@@H](CCCC2C[C@@H](O[C@H]3CCCCO3)CCO2)O1	48 8 12 5 0 16 0 4 8 0 0 8 0 10 0 0 10 0 0 0 0 2 0 0 2 4 0 4 0 0 2 0	881	55022	1013	29;3	29	3
scaffold.509154	O=C(NCc1ccccc1)[C@H](CCC(=O)N1CCN(C2CCCCC2)CC1)N1C(=O)[C@@H](N2C(=O)OC[C@@H]2c2ccccc2)[C@H]1/C=C/c1ccccc1	O=C(NCc1ccccc1)[C@H](CCC(=O)N1CCN(C2CCCCC2)CC1)N1C(=O)[C@@H](N2C(=O)OC[C@@H]2c2ccccc2)[C@H]1/C=C/c1ccccc1	48 9 12 7 0 6 3 0 14 0 0 1 13 10 0 0 5 5 3 0 0 1 6 0 5 0 7 0 5 9 4 9	882	55023	1013	29;3	29	3
scaffold.508407	C=C(C[n+]1ccccc1)[C@@H]1CC[C@]2(COC(=O)C[n+]3ccccc3)CCC3C4CC[C@H]5C[C@@H](OC(=O)C[n+]6ccccc6)CCC5[C@H]4CC[C@@H]3[C@@H]12	C=C(C[n+]1ccccc1)[C@@H]1CC[C@]2(COC(=O)C[n+]3ccccc3)CCC3C4CC[C@H]5C[C@@H](OC(=O)C[n+]6ccccc6)CCC5[C@H]4CC[C@@H]3[C@@H]12	48 9 12 8 0 6 3 0 11 0 0 2 9 7 0 0 4 3 0 0 0 0 2 0 2 0 8 1 8 13 3 13	883	55024	1013	29;3	29	3
scaffold.507771	O=C(CCc1c[nH]c2ccccc12)N[C@@H](Cc1ccc(OCc2ccccc2)cc1)c1nc(C(=O)Nc2ccccc2)c(-c2ccccc2)s1	O=C(CCc1c[nH]c2ccccc12)N[C@@H](Cc1ccc(OCc2ccccc2)cc1)c1nc(C(=O)Nc2ccccc2)c(-c2ccccc2)s1	48 10 14 7 0 6 7 0 6 0 1 1 4 8 0 1 3 4 3 0 0 1 4 0 2 0 5 3 2 11 2 11	884	55025	1013	29;3	29	3
scaffold.509964	O=C(CCc1ccccc1)NCC(=O)Nc1ccc(COC(=O)NC2CCOC(O[C@H]3CCCc4cc5c(cc43)C(=O)c3ccccc3C5=O)C2)cc1	O=C(CCc1ccccc1)NCC(=O)Nc1ccc(COC(=O)NC2CCOC(O[C@H]3CCCc4cc5c(cc43)C(=O)c3ccccc3C5=O)C2)cc1	48 12 15 7 0 6 5 1 6 0 0 3 3 11 0 0 8 3 0 0 0 2 1 0 4 0 4 4 1 12 5 12	885	55026	1013	29;3	29	3
scaffold.511212	O=C(CNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)Nc1ccccc1)NCC(=O)N1CCC[C@H]1C(=O)N1CCN(c2nsc3ccccc23)CC1	O=C(CNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)Nc1ccccc1)NCC(=O)N1CCC[C@H]1C(=O)N1CCN(c2nsc3ccccc23)CC1	48 16 19 6 0 6 4 0 16 0 1 0 15 16 0 1 6 9 3 1 0 2 7 0 7 0 4 1 2 5 6 5	886	55027	1013	29;3	29	3
scaffold.511213	O=C(CNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=S)Nc1ccccc1)NCC(=O)N1CCC[C@H]1C(=O)N1CCN(c2nsc3ccccc23)CC1	O=C(CNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=S)Nc1ccccc1)NCC(=O)N1CCC[C@H]1C(=O)N1CCN(c2nsc3ccccc23)CC1	48 16 19 6 0 6 4 0 16 0 1 0 15 16 0 2 5 9 3 1 0 2 7 0 7 0 4 1 2 5 6 5	887	55028	1013	29;3	29	3
scaffold.504899	c1ccc(CCCN[C@H](CN[C@H](CN[C@H](CNCCc2ccccc2)Cc2ccccc2)Cc2ccccc2)Cc2ccccc2)cc1	c1ccc(CCCN[C@H](CN[C@H](CN[C@H](CNCCc2ccccc2)Cc2ccccc2)Cc2ccccc2)Cc2ccccc2)cc1	48 18 22 5 0 6 5 0 4 0 0 0 4 4 0 0 0 4 9 0 0 0 3 0 0 0 0 3 0 2 0 2	888	55029	1013	29;3	29	3
scaffold.511836	O=C(CNC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCc1cnc[nH]1)NCC(=O)N1CCCC1	O=C(CNC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCc1cnc[nH]1)NCC(=O)N1CCCC1	48 23 26 5 0 6 4 0 12 0 0 0 12 17 0 0 7 10 6 0 0 1 7 0 7 0 2 2 1 2 7 2	889	55030	1013	29;3	29	3
