bms	order	scaffold_id	scaffold_key
O=C(NCC1CCCCO1)C1CCCCN1	87	CHEMBL2107176	15 3 4 2 0 6 0 0 3 0 0 1 2 4 0 0 2 2 0 0 0 0 2 0 1 0 0 0 0 0 1 0 UIMHBTPSBYSJIE-UHFFFAOYSA-N
c1ccc(OCCN2CCCCC2)cc1	88	CHEMBL2106304	15 3 4 2 0 6 1 0 4 0 0 1 3 2 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 RSUFKEGMFFPMIB-UHFFFAOYSA-N
O=C(Cc1ccsc1)NC1C(=O)N2CCSC12	89	CHEMBL1200855	15 3 4 3 0 5 1 0 6 0 2 0 4 6 0 2 2 2 0 0 0 1 4 0 2 0 2 0 1 1 2 1 UIGXZQSNDFMIGG-UHFFFAOYSA-N
C(=CC1CCCC1)CCOc1ccsc1	90	CHEMBL2104879	15 5 6 2 0 5 1 0 2 0 1 1 0 2 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 WDSXELGYWOGSAY-UHFFFAOYSA-N
C=C1NC(=O)CNC(=O)CCC(=O)CCOC(=O)CNC1=O	91	CHEMBL1213490	16 0 0 1 0 16 0 0 4 0 0 1 3 9 0 0 6 3 0 0 0 0 3 0 5 1 0 0 0 0 6 0 FGDNOIYFPCBPEG-UHFFFAOYSA-N
O=C1C=CC(C2COC(c3ccccc3)O2)O1	92	CHEMBL2218874	16 0 0 3 0 6 1 1 3 0 0 3 0 4 0 0 4 0 0 0 0 1 2 0 1 1 2 1 0 3 1 3 MLNVRDTUWCSKHP-UHFFFAOYSA-N
c1ccc(-c2cnc3ncncc3n2)cc1	93	CHEMBL585	16 0 0 3 0 6 3 0 4 0 0 0 4 4 0 0 0 4 0 0 0 2 4 0 0 0 2 1 0 3 0 3 LLSMNKXJGLPMIW-UHFFFAOYSA-N
c1cc2c3c(c[nH]c3c1)CC1NCCCC21	94	CHEMBL12314	16 0 0 4 0 6 2 2 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 5 1 5 6 0 6 RHGUXDUPXYFCTE-UHFFFAOYSA-N
C1=C2c3cccc4[nH]cc(c34)CC2NCC1	95	CHEMBL263881	16 0 0 4 0 6 2 3 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 3 1 3 3 0 3 VUEGRGTYEAPQFU-UHFFFAOYSA-N
C1CC2CCOC3OC4CCC(C1)[C@@]23OO4	96	CHEMBL566534	16 0 0 5 1 7 0 0 4 0 0 4 0 4 0 0 4 0 0 1 0 2 2 0 0 0 3 1 3 3 0 3 WHEUCCQFKWCFHJ-MGEHAVSKSA-N
O=C1CC2CCCC3CCC4OO[C@]32C(O1)O4	97	CHEMBL567597	16 0 0 5 1 7 0 0 4 0 0 4 0 5 0 0 5 0 0 1 0 2 2 0 1 0 3 1 3 3 1 3 DCXZONMFGHYWEG-ZCANUTGISA-N
O=C1NC(=O)C2C3C=CC(C12)C1C2C(=O)NC(=O)C2C31	98	CHEMBL1908340	16 0 0 6 0 6 0 2 2 0 0 0 2 6 0 0 4 2 0 0 0 0 0 0 4 0 9 0 12 13 4 13 DRCJGCOYHLTVNR-UHFFFAOYSA-N
c1ccc(Cn2cnc3cncnc32)cc1	99	CHEMBL321993	16 1 2 3 0 6 3 0 6 0 0 0 6 4 0 0 0 4 0 0 0 3 3 0 0 0 2 1 1 2 0 2 MDOUSORGCMUMBO-UHFFFAOYSA-N
O=C1C(N=CN2CCCCCC2)C2SCCN12	100	CHEMBL2106658	16 2 3 3 0 7 0 0 8 0 1 0 7 5 0 1 1 3 0 0 0 1 4 0 2 0 2 0 1 1 1 1 VFFYXXMLKRYIND-UHFFFAOYSA-N
C=C1CC2CCC(C=CCC3CCCC3)C2C1	101	CHEMBL2104074	16 3 4 3 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 1 1 1 SKWWWKPTYOACQY-UHFFFAOYSA-N
O=C(CC1=CCC=CC1)NC1C(=O)N2CCSC12	102	CHEMBL2104266	16 3 4 3 0 6 0 2 5 0 1 0 4 5 0 1 2 2 0 0 0 1 4 0 2 0 2 0 1 1 2 1 REVHWQVNKGEMRG-UHFFFAOYSA-N
O=C(Cc1ccccc1)NC1C(=O)N2CCSC12	103	CHEMBL606260	16 3 4 3 0 6 1 0 5 0 1 0 4 5 0 1 2 2 0 0 0 1 4 0 2 0 2 0 1 1 2 1 CWAWUGVECPEPER-UHFFFAOYSA-N
N=C(C(=O)NC1C(=O)N2C=CCSC12)c1ccco1	104	CHEMBL2146124	16 3 4 3 0 6 1 1 6 0 1 1 4 7 0 1 3 3 0 0 0 1 3 0 3 1 2 0 1 1 3 1 YLPIEDBLSZFTCF-UHFFFAOYSA-N
O=C(Cc1cccs1)NC1C(=O)N2C=CCSC12	105	CHEMBL1632	16 3 4 3 0 6 1 1 6 0 2 0 4 6 0 2 2 2 0 0 0 1 3 0 3 0 2 0 1 1 2 1 RJJAVNQAKXFPER-UHFFFAOYSA-N
C=C(C(=O)NC1C(=O)N2C=CCSC12)c1cscn1	106	CHEMBL1605	16 3 4 3 0 6 1 1 7 0 2 0 5 7 0 2 2 3 0 0 0 2 4 0 3 1 2 0 1 1 3 1 WNFJRVHPNPQNBI-UHFFFAOYSA-N
N=C(C(=O)NC1C(=O)N2C=CCSC12)c1cscn1	107	CHEMBL2104178	16 3 4 3 0 6 1 1 7 0 2 0 5 8 0 2 2 4 0 0 0 2 4 0 3 1 2 0 1 1 3 1 LKDGHEYGFQWFMY-UHFFFAOYSA-N
O=C1CC2CC(CCCSC3CCNC3)=CN12	108	CHEMBL2104796	16 4 5 3 0 5 0 1 5 0 1 0 4 4 0 1 1 2 0 0 0 0 1 0 2 0 1 0 0 1 1 1 JXCJTRFDOVJEGY-UHFFFAOYSA-N
C(#CC1CCCC1)CCCC1CCCCC1	109	CHEMBL2104662	16 5 5 2 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 RBUVZVZWUHALLM-UHFFFAOYSA-N
c1ccc(CCCCCC2CCCC2)cc1	110	CHEMBL1051	16 5 6 2 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 CEZGJPYGUAAHKC-UHFFFAOYSA-N
C(=CC1CCCC1)CCCc1ccccc1	111	CHEMBL1200963	16 5 6 2 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 OTTBLRVQELMMSL-UHFFFAOYSA-N
C(=CC1CCCC1)CCOc1ccccc1	112	CHEMBL2104232	16 5 6 2 0 6 1 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 JFZINVLMMCIFJS-UHFFFAOYSA-N
