scaffold_id	Dim_1	Dim_2	color
scaffold.222249	-35.232002	53.695328	6
scaffold.225576	2.9031596	-0.5119153	6
scaffold.233671	33.34888	-34.335716	6
scaffold.235175	10.15973	-32.501194	6
scaffold.274897	36.579227	-28.770794	6
scaffold.274890	36.503723	-28.74483	6
scaffold.275621	36.515785	-27.042952	6
scaffold.215053	25.83798	-30.335367	6
scaffold.215057	26.02545	-30.307978	6
scaffold.233451	30.03116	-29.00657	6
scaffold.221098	10.457821	-32.386547	6
scaffold.223532	7.847795	-39.01885	6
scaffold.214325	32.00424	-36.33487	6
scaffold.229642	24.449919	-40.8396	6
scaffold.215052	10.132296	-37.574406	6
scaffold.216100	24.838856	-40.361744	6
scaffold.221845	23.698727	-36.04925	6
scaffold.218160	16.294273	-41.417366	6
scaffold.219303	-11.787025	-49.98144	6
scaffold.230578	23.69651	-36.28016	6
scaffold.294698	-4.449309	-20.308424	6
scaffold.221172	-4.7089376	-69.44989	6
scaffold.276879	-6.5217614	-51.7613	6
scaffold.222170	3.471488	-42.012398	6
scaffold.231445	3.439864	-42.012325	6
scaffold.241256	29.415567	-49.208977	6
scaffold.219659	23.708485	-36.318893	6
scaffold.241257	29.52153	-49.23302	6
scaffold.226496	53.79506	-12.864026	6
scaffold.243096	29.623848	-20.030107	6
scaffold.216693	59.510906	-31.417505	6
scaffold.218418	28.198744	-43.80094	6
scaffold.282645	-32.875137	17.165924	6
scaffold.235266	22.687195	-33.178005	6
scaffold.235427	56.582466	-13.197907	6
scaffold.223708	52.77167	-11.87055	6
scaffold.220091	57.269688	-43.421772	6
scaffold.225749	59.001762	-32.18584	6
scaffold.219274	30.952152	-45.201195	6
scaffold.243333	25.845938	66.85592	6
scaffold.243250	25.843767	66.81099	6
scaffold.272697	25.856728	66.817856	6
scaffold.252451	31.487736	76.91366	6
scaffold.273179	26.037952	67.060684	6
scaffold.272375	25.822779	67.68342	6
scaffold.218835	71.7558	9.15239	6
scaffold.250454	-40.069927	35.84288	6
scaffold.226474	1.7910631	0.059314907	6
scaffold.214284	-38.707554	30.480442	6
scaffold.252509	31.50159	-38.582623	6
scaffold.265009	63.265575	8.744914	6
scaffold.221456	-27.172928	53.098255	6
scaffold.252990	-29.930107	40.334705	6
scaffold.218130	31.380093	-30.240314	6
scaffold.234541	-39.270565	13.108157	6
scaffold.234602	-17.78672	26.152319	6
scaffold.241905	-74.95015	31.187737	6
scaffold.260476	-20.934526	56.64343	6
scaffold.272203	45.162853	-61.547127	6
scaffold.272199	45.162533	-61.545715	6
scaffold.223137	-12.262564	82.55914	6
scaffold.217162	-12.238089	82.54251	6
scaffold.220050	-12.234967	82.54338	6
scaffold.265123	-12.2122965	82.53006	6
scaffold.214263	-12.150336	82.493744	6
scaffold.220053	-12.152598	82.4931	6
scaffold.216061	-11.82307	82.29654	6
scaffold.265773	67.78792	38.733795	6
scaffold.265776	67.76695	38.69571	6
scaffold.235398	67.698135	38.624054	6
scaffold.218793	-24.14119	44.632984	6
scaffold.326147	-5.2315917	84.26131	7
scaffold.346508	45.14254	41.423546	7
scaffold.332830	27.885166	60.648136	7
scaffold.367361	-23.105766	70.05642	7
scaffold.321987	44.548336	41.429256	7
scaffold.350266	54.13269	26.724726	7
scaffold.360538	-18.968678	-58.11663	7
scaffold.369463	53.31346	44.529392	7
scaffold.350050	57.647568	-35.883484	7
scaffold.350755	23.746798	-23.757187	7
scaffold.350948	23.746798	-23.757187	7
scaffold.337535	0.32830822	-53.392075	7
scaffold.326821	51.876423	-49.552795	7
scaffold.336941	0.32274202	-53.393974	7
scaffold.369068	45.142254	41.423294	7
scaffold.356559	-6.059627	-3.5412154	7
scaffold.306149	42.48866	30.95603	7
scaffold.331860	42.485565	30.953693	7
scaffold.339077	50.794777	29.567236	7
scaffold.309805	45.92019	-31.349154	7
scaffold.387199	-6.058691	-3.5411205	7
scaffold.302988	24.100323	9.620337	7
scaffold.315743	-1.9969505	23.440529	7
scaffold.303921	51.181732	36.924538	7
scaffold.351556	54.056934	26.993551	7
scaffold.303941	30.864473	23.330324	7
scaffold.317934	-17.131958	59.96583	7
scaffold.337150	22.454256	41.88762	7
scaffold.318030	-6.11327	9.707231	7
scaffold.360898	-7.918126	67.09463	7
scaffold.337590	-37.937077	11.047684	7
scaffold.302870	-16.351154	59.933468	7
scaffold.338575	-39.53581	2.7902806	7
scaffold.323443	59.264458	23.150822	7
scaffold.307262	-70.5168	-12.680285	7
scaffold.326897	61.762726	-25.251715	7
scaffold.318737	59.862473	-27.502796	7
scaffold.338074	49.961266	-0.28287473	7
scaffold.324202	30.32004	-46.194965	7
scaffold.317937	-5.3899703	-1.126736	7
scaffold.303018	53.75823	-33.988113	7
scaffold.303017	53.730503	-33.949203	7
